"scientific_name","month_maximum","adult_trophic_level","Demersal","Epipelagic","Mesopelagic","Coastal","Coastal-Oceanic","Oceanic","Cool-water","Warm-water","Wide Distribution","Fished","Argentiniformes","Myctophiformes","Perciformes/Scorpaenoidei","Pleuronectiformes","Scombriformes","Stomiiformes"
"Argentina sialis",1,3.1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Aristostomias scintillans",4,3.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"Bathophilus flemingi",7,3.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"Bathylagoides wesethi",7,3.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Bathylagus pacificus",1,3.27,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Brosmophycis marginata",4,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Ceratoscopelus townsendi",7,3.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"Chauliodus macouni",4,4.09,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"Chromis punctipinnis",7,2.73,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Cololabis saira",4,3.71,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Diogenichthys atlanticus",1,3.11,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"Electrona risso",4,3.4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"Engraulis mordax",4,3.1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Girella nigricans",7,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Glyptocephalus zachirus",7,3.41,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"Hippoglossina stomata",10,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Hypsypops rubicundus",7,3.16,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Icichthys lockingtoni",4,3.71,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"Idiacanthus antrostomus",7,3.83,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"Lampadena urophaos",7,NA,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"Leuroglossus stilbius",4,3.26,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"Lipolagus ochotensis",1,3.4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Lyopsetta exilis",4,3.5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Medialuna californiensis",7,2.67,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Merluccius productus",2,3.98,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Microstomus pacificus",4,3.34,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"Nansenia candida",4,NA,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"Notolychnus valdiviae",4,3.07,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"Notoscopelus resplendens",7,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"Oxylebius pictus",4,3.42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Paralichthys californicus",4,4.5,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"Parophrys vetulus",4,3.39,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"Peprilus simillimus",7,NA,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"Pleuronichthys coenosus",4,3.16,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Pleuronichthys decurrens",1,3.85,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Pleuronichthys verticalis",7,3.1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"Protomyctophum crockeri",1,3.2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"Pseudobathylagus milleri",1,3.21,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
"Sardinops sagax",4,2.61,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Scomber japonicus",7,3.42,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"Scorpaenichthys marmoratus",1,3.62,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Sebastes aurora",4,3.3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Sebastes diploproa",7,3.3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Sebastes goodei",1,3.46,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Sebastes jordani",1,3.2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Sebastes levis",1,3.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Sebastes paucispinis",1,3.51,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"Sphyraena argentea",7,4.5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Stenobrachius leucopsarus",4,3.61,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"Stomias atriventer",1,3.98,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"Symbolophorus californiensis",4,3.1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"Symphurus atricaudus",7,3.3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"Tactostoma macropus",7,4.2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"Tarletonbeania crenularis",4,3.13,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"Tetragonurus cuvieri",10,3.78,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"Trachurus symmetricus",4,3.82,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"Triphoturus mexicanus",7,3.33,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
