"scientific_name","New_Decade","unshift_ct","ct_anomaly_months","ct_anomaly_days","group.5","group.3","season"
"Argentina sialis","1955",3.08183183183183,1.89440897764983,57.6658092796609,"earlier","earlier","fall_winter"
"Argentina sialis","1965",1.03306869407253,-0.154354160109468,-4.69854063373222,"earlier","earlier","fall_winter"
"Argentina sialis","1975",0.743112748328853,-0.444310105853145,-13.5247996221697,"earlier","earlier","fall_winter"
"Argentina sialis","1985",1.43988942209221,0.252466567910216,7.68508232718697,"earlier","earlier","fall_winter"
"Argentina sialis","1995",0.856917964531319,-0.330504889650679,-10.0605688409667,"earlier","earlier","fall_winter"
"Argentina sialis","2005",1.65065336908176,0.463230514899767,14.1007368735489,"earlier","earlier","fall_winter"
"Argentina sialis","2015",11.5064859493355,-1.68093690484653,-51.1677193835283,"earlier","earlier","fall_winter"
"Aristostomias scintillans","1965",0.491685485526586,-1.31605166415917,-40.0606126570051,"later","later","fall_winter"
"Aristostomias scintillans","1985",2.58747746559381,0.779740315908053,23.7352952162411,"later","later","fall_winter"
"Aristostomias scintillans","1995",2.28327321055629,0.475536060870538,14.4753176928992,"later","later","fall_winter"
"Aristostomias scintillans","2005",1.3493577713276,-0.458379378358157,-13.9530682772223,"later","later","fall_winter"
"Aristostomias scintillans","2015",2.32689181542449,0.519154665738735,15.8030680250871,"later","later","fall_winter"
"Bathophilus flemingi","1955",6.11471518987342,0.830324731616845,25.2750848304168,"earlier","earlier","spring_summer"
"Bathophilus flemingi","1965",5.43051861702128,0.146128158764705,4.44814115279761,"earlier","earlier","spring_summer"
"Bathophilus flemingi","1985",4.80508862635783,-0.479301831898739,-14.5899477629976,"earlier","earlier","spring_summer"
"Bathophilus flemingi","1995",5.92142747740848,0.637037019151912,19.3914068629842,"earlier","earlier","spring_summer"
"Bathophilus flemingi","2005",5.83604937051247,0.551658912255895,16.7924972890695,"earlier","earlier","spring_summer"
"Bathophilus flemingi","2015",3.59854346836595,-1.68584698989062,-51.3171823722704,"earlier","earlier","spring_summer"
"Bathylagoides wesethi","1955",5.63089788950194,-0.998993867686493,-30.4093733323768,"later","later","spring_summer"
"Bathylagoides wesethi","1965",6.39797394817523,-0.231917809013203,-7.05957810636191,"later","later","spring_summer"
"Bathylagoides wesethi","1975",6.76992095895079,0.140029201762353,4.26248890164602,"later","later","spring_summer"
"Bathylagoides wesethi","1985",7.08310738316776,0.453215625979321,13.7958836548105,"later","later","spring_summer"
"Bathylagoides wesethi","1995",7.11603407485958,0.486142317671144,14.7981721499096,"later","later","spring_summer"
"Bathylagoides wesethi","2005",6.86766429353252,0.237772536344083,7.23779600631387,"later","later","spring_summer"
"Bathylagoides wesethi","2015",6.54364375213123,-0.0862480050572021,-2.62538927394123,"later","later","spring_summer"
"Bathylagus pacificus","1955",4.63545150501672,1.9386520909119,59.0125696473584,"earlier","earlier","fall_winter"
"Bathylagus pacificus","1965",2.44751291989664,-0.249286494208175,-7.58828088369683,"earlier","earlier","fall_winter"
"Bathylagus pacificus","1975",2.4035903124827,-0.293209101622121,-8.92528505337738,"earlier","earlier","fall_winter"
"Bathylagus pacificus","1985",2.6836192544248,-0.0131801596800134,-0.401204060659608,"earlier","earlier","fall_winter"
"Bathylagus pacificus","1995",2.61979679831089,-0.0770026157939281,-2.34395962476717,"earlier","earlier","fall_winter"
"Bathylagus pacificus","2005",2.4965667655846,-0.200232648520219,-6.09508182095545,"earlier","earlier","fall_winter"
"Bathylagus pacificus","2015",1.59105834301737,-1.10574107108744,-33.6587582039018,"earlier","earlier","fall_winter"
"Brosmophycis marginata","1955",5.58049521766336,0.511211386594549,15.5612746079381,"earlier","earlier","spring_summer"
"Brosmophycis marginata","1965",5.61605061605062,0.546766784981807,16.6435809348462,"earlier","earlier","spring_summer"
"Brosmophycis marginata","1975",6.05737222946708,0.988088398398272,30.0774108472434,"earlier","earlier","spring_summer"
"Brosmophycis marginata","1985",5.25139315943384,0.182109328365032,5.54340795543157,"earlier","earlier","spring_summer"
"Brosmophycis marginata","1995",3.16846929397403,-1.90081453709478,-57.8607945091651,"earlier","earlier","spring_summer"
"Brosmophycis marginata","2005",5.54529260593847,0.476008774869657,14.4897071070323,"earlier","earlier","spring_summer"
"Brosmophycis marginata","2015",4.26591369495428,-0.803370136114534,-24.4545869433264,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","1955",6.60574155027188,-0.117209729060196,-3.56786415259237,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","1965",7.11984663902948,0.396895359697397,12.0814947491888,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","1975",6.72449350772589,0.0015422283938058,0.0469454323074486,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","1985",7.27678367602692,0.553832396694842,16.858658155391,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","1995",6.92518487819879,0.202233598866713,6.15599074950275,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","2005",6.36205516744047,-0.360896111891609,-10.9856776459806,"earlier","earlier","spring_summer"
"Ceratoscopelus townsendi","2015",6.04655353663113,-0.676397742700952,-20.589547287817,"earlier","earlier","spring_summer"
"Chauliodus macouni","1955",5.66544334767569,0.124699980590847,3.79586740918539,"no_change","no_change","spring_summer"
"Chauliodus macouni","1965",5.52617857918749,-0.0145647878973598,-0.443352143595633,"no_change","no_change","spring_summer"
"Chauliodus macouni","1975",4.93235833681665,-0.608385030268194,-18.5192403213638,"no_change","no_change","spring_summer"
"Chauliodus macouni","1985",5.20313019568509,-0.337613171399755,-10.2769449374085,"no_change","no_change","spring_summer"
"Chauliodus macouni","1995",6.17043147537644,0.629688108291595,19.1677060163962,"no_change","no_change","spring_summer"
"Chauliodus macouni","2005",6.47683414633534,0.936090779250495,28.4946033203851,"no_change","no_change","spring_summer"
"Chauliodus macouni","2015",4.81082748851722,-0.729915878567626,-22.2186393435985,"no_change","no_change","spring_summer"
"Chromis punctipinnis","1955",6.39280173751164,-1.31409292943059,-40.000988771867,"no_change","later","spring_summer"
"Chromis punctipinnis","1965",7.80267343781922,0.0957787708770024,2.91550578549595,"no_change","later","spring_summer"
"Chromis punctipinnis","1985",8.08418031454164,0.377285647599416,11.4845751129262,"no_change","later","spring_summer"
"Chromis punctipinnis","1995",8.53480542620018,0.827910759257964,25.2016035118124,"no_change","later","spring_summer"
"Chromis punctipinnis","2005",8.17376708642365,0.466872419481426,14.2115964490146,"no_change","later","spring_summer"
"Chromis punctipinnis","2015",7.253139999157,-0.453754667785222,-13.8122920873822,"no_change","later","spring_summer"
"Cololabis saira","1955",5.06043836805556,-0.788780165693211,-24.0104682437014,"no_change","no_change","spring_summer"
"Cololabis saira","1965",5.75700870045574,-0.0922098332930279,-2.80686732543977,"no_change","no_change","spring_summer"
"Cololabis saira","1975",5.58324343761237,-0.265975096136398,-8.09628192639194,"no_change","no_change","spring_summer"
"Cololabis saira","1985",6.83965799115281,0.990439457404043,30.1489770833791,"no_change","no_change","spring_summer"
"Cololabis saira","1995",6.2575377578846,0.40831922413583,12.4292371826947,"no_change","no_change","spring_summer"
"Cololabis saira","2005",6.49169606709617,0.642477533347399,19.5570161150948,"no_change","no_change","spring_summer"
"Cololabis saira","2015",4.95494741398413,-0.894271119764633,-27.2216128856354,"no_change","no_change","spring_summer"
"Diogenichthys atlanticus","1955",2.79903847593943,2.00626122077611,61.0705915604248,"no_change","earlier","fall_winter"
"Diogenichthys atlanticus","1965",0.428539378778871,-0.364237876384451,-11.0874009571427,"no_change","earlier","fall_winter"
"Diogenichthys atlanticus","1975",0.411278908002256,-0.381498347161067,-11.6128096875829,"no_change","earlier","fall_winter"
"Diogenichthys atlanticus","1985",0.965749275522717,0.172972020359395,5.26526829973998,"no_change","earlier","fall_winter"
"Diogenichthys atlanticus","1995",11.1859431058111,-1.60683414935217,-48.9120315062802,"no_change","earlier","fall_winter"
"Diogenichthys atlanticus","2005",0.601662207999103,-0.191115047164219,-5.81754203567883,"no_change","earlier","fall_winter"
"Diogenichthys atlanticus","2015",1.15722943408973,0.364452178926403,11.0939243265197,"no_change","earlier","fall_winter"
"Electrona risso","1965",0.575801749271138,-0.642971029003584,-19.5720381228691,"no_change","no_change","fall_winter"
