"","Year","Month","Taxa","Density","ID"
"1",1998,3,"Anoplarchus purpurescens",0.0186241415434757,1
"2",1999,3,"Anoplarchus purpurescens",0.0242259799408886,1
"3",2000,2,"Anoplarchus purpurescens",0.00967585873246251,1
"4",2000,3,"Anoplarchus purpurescens",0.0331502178442887,1
"5",2001,1,"Anoplarchus purpurescens",0.0125164278115026,1
"6",2001,2,"Anoplarchus purpurescens",0.0189969604863222,1
"7",2002,3,"Anoplarchus purpurescens",0.0388048117966628,1
"8",2005,4,"Anoplarchus purpurescens",0.0129416332341141,1
"9",2008,3,"Anoplarchus purpurescens",0.0136109976861304,1
"10",2009,3,"Anoplarchus purpurescens",0.0212992545260916,1
"11",2010,2,"Anoplarchus purpurescens",0.110436223081171,1
"12",2010,3,"Anoplarchus purpurescens",0.0377429703717683,1
"13",2011,3,"Anoplarchus purpurescens",0.0220890985880648,1
"14",2012,2,"Anoplarchus purpurescens",0.035882451213356,1
"15",2013,3,"Anoplarchus purpurescens",0.0603228721408467,1
"16",2013,4,"Anoplarchus purpurescens",0.0855182290657076,1
"17",2014,2,"Anoplarchus purpurescens",0.0223313979455114,1
"18",2014,4,"Anoplarchus purpurescens",0.0190548780487805,1
"19",2015,4,"Anoplarchus purpurescens",0.0283929585462805,1
"20",2016,3,"Anoplarchus purpurescens",0.0347463516330785,1
"21",2017,3,"Anoplarchus purpurescens",0.0641711229946524,1
"22",2018,3,"Anoplarchus purpurescens",0.0290275761973875,1
"23",2018,4,"Anoplarchus purpurescens",0.015145826920024,1
"24",2019,3,"Anoplarchus purpurescens",0.0591769980648846,1
"25",2020,3,"Anoplarchus purpurescens",0.0978148443248806,1
"26",2021,3,"Anoplarchus purpurescens",0.340517006357823,1
"27",2022,2,"Anoplarchus purpurescens",0.022068113231489,1
"28",2022,3,"Anoplarchus purpurescens",0.0749098740577742,1
"29",2023,2,"Anoplarchus purpurescens",0.0179962279906132,1
"30",2023,3,"Anoplarchus purpurescens",0.0239878333709143,1
"31",2023,4,"Anoplarchus purpurescens",0.058618880555238,1
"32",2023,5,"Anoplarchus purpurescens",0.0246901387585798,1
"33",1997,6,"Artedius fenestralis",0.00560600964233659,2
"34",1999,8,"Artedius fenestralis",0.0052565180824222,2
"35",2000,4,"Artedius fenestralis",0.00112930547713156,2
"36",2000,7,"Artedius fenestralis",0.00179083094555874,2
"37",2000,9,"Artedius fenestralis",0.0028169014084507,2
"38",2000,10,"Artedius fenestralis",0.0184433788270011,2
"39",2002,4,"Artedius fenestralis",0.0189100911122572,2
"40",2004,5,"Artedius fenestralis",0.0148942508191838,2
"41",2010,6,"Artedius fenestralis",0.0220142123755096,2
