"cluster","Decade","mean_cta_days","se_cta_days"
"Epipelagic",1,8.35260128823376,10.6276518732229
"Epipelagic",2,0.0852975661485365,4.59550676766533
"Epipelagic",3,-11.9884360512042,7.45928003750989
"Epipelagic",4,5.66788501380764,7.90886476072015
"Epipelagic",5,-0.346828327750777,3.04963486991279
"Epipelagic",6,-1.07698308379684,6.28916394189252
"Epipelagic",7,-2.02558485557188,8.79906725465882
"Demersal",1,11.6744860459938,5.67244825911226
"Demersal",2,-0.223129103596456,3.07175258213164
"Demersal",3,-6.59715928746534,4.13608601359973
"Demersal",4,0.739370910157749,4.99823023804875
"Demersal",5,0.543698938207099,4.23263367105532
"Demersal",6,-1.47488771305966,4.04316975167177
"Demersal",7,-5.28216429914301,4.09772058027009
"Mesopelagic",1,13.0129009440498,5.32905185886583
"Mesopelagic",2,-1.10119638391123,3.07123451878876
"Mesopelagic",3,-4.37240546092303,5.08952467781459
"Mesopelagic",4,6.44306517454635,3.71654745186094
"Mesopelagic",5,2.41268320930596,3.8573566280309
"Mesopelagic",6,-4.1242658987734,3.20444005287517
"Mesopelagic",7,-10.6258602360545,3.66690334058802
