Year,January,February,March,April,May,June,July,August,September,October,November,December,
1950,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neutral,Neutral,Neutral,Neutral,Neutral,
1951,Neutral,Neutral,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,
1952,El Nino,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1953,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,
1954,El Nino,El Nino,Neutral,Neutral,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1955,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1956,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neutral,Neutral,Neutral,
1957,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,
1958,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,Neutral,Neutral,Neutral,El Nino,El Nino,
1959,El Nino,El Nino,El Nino,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1960,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1961,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1962,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1963,Neutral,Neutral,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,
1964,El Nino,El Nino,Neutral,Neutral,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1965,La Nina,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,
1966,El Nino,El Nino,El Nino,El Nino,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1967,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
1968,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,
1969,El Nino,El Nino,El Nino,El Nino,El Nino,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,
1970,El Nino,Neutral,Neutral,Neutral,Neutral,Neutral,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1971,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1972,La Nina,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,El Nino,
1973,El Nino,El Nino,El Nino,El Nino,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1974,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,Neutral,Neutral,La Nina,La Nina,La Nina,
1975,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,La Nina,
1976,La Nina,La Nina,La Nina,La Nina,Neutral,Neutral,Neutral,Neutral,El Nino,El Nino,El Nino,El Nino,
