"scientific_name","Decade","New_Month","Avg_Abundance","Old_Year","New_Year","Old_Month"
"Argentina sialis","1955",1,0.306666666666667,1951,1951,7
"Argentina sialis","1955",1,0.306666666666667,1952,1952,7
"Argentina sialis","1955",1,0.306666666666667,1953,1953,7
"Argentina sialis","1955",1,0.306666666666667,1954,1954,7
"Argentina sialis","1955",1,0.306666666666667,1955,1955,7
"Argentina sialis","1955",1,0.306666666666667,1956,1956,7
"Argentina sialis","1955",1,0.306666666666667,1957,1957,7
"Argentina sialis","1955",1,0.306666666666667,1958,1958,7
"Argentina sialis","1955",1,0.306666666666667,1959,1959,7
"Argentina sialis","1955",2,0,1951,1951,8
"Argentina sialis","1955",2,0,1952,1952,8
"Argentina sialis","1955",2,0,1953,1953,8
"Argentina sialis","1955",2,0,1954,1954,8
"Argentina sialis","1955",2,0,1955,1955,8
"Argentina sialis","1955",2,0,1956,1956,8
"Argentina sialis","1955",2,0,1957,1957,8
"Argentina sialis","1955",2,0,1958,1958,8
"Argentina sialis","1955",2,0,1959,1959,8
"Argentina sialis","1955",3,0,1951,1951,9
"Argentina sialis","1955",3,0,1952,1952,9
"Argentina sialis","1955",3,0,1953,1953,9
"Argentina sialis","1955",3,0,1954,1954,9
"Argentina sialis","1955",3,0,1955,1955,9
"Argentina sialis","1955",3,0,1956,1956,9
"Argentina sialis","1955",3,0,1957,1957,9
"Argentina sialis","1955",3,0,1958,1958,9
"Argentina sialis","1955",3,0,1959,1959,9
"Argentina sialis","1955",4,0,1951,1951,10
"Argentina sialis","1955",4,0,1952,1952,10
"Argentina sialis","1955",4,0,1953,1953,10
"Argentina sialis","1955",4,0,1954,1954,10
"Argentina sialis","1955",4,0,1955,1955,10
"Argentina sialis","1955",4,0,1956,1956,10
"Argentina sialis","1955",4,0,1957,1957,10
"Argentina sialis","1955",4,0,1958,1958,10
"Argentina sialis","1955",4,0,1959,1959,10
"Argentina sialis","1955",5,0,1951,1951,11
"Argentina sialis","1955",5,0,1952,1952,11
"Argentina sialis","1955",5,0,1953,1953,11
"Argentina sialis","1955",5,0,1954,1954,11
"Argentina sialis","1955",5,0,1955,1955,11
"Argentina sialis","1955",5,0,1956,1956,11
"Argentina sialis","1955",5,0,1957,1957,11
"Argentina sialis","1955",5,0,1958,1958,11
"Argentina sialis","1955",5,0,1959,1959,11
"Argentina sialis","1955",6,0,1951,1951,12
"Argentina sialis","1955",6,0,1952,1952,12
"Argentina sialis","1955",6,0,1953,1953,12
"Argentina sialis","1955",6,0,1954,1954,12
"Argentina sialis","1955",6,0,1955,1955,12
"Argentina sialis","1955",6,0,1956,1956,12
"Argentina sialis","1955",6,0,1957,1957,12
"Argentina sialis","1955",6,0,1958,1958,12
"Argentina sialis","1955",6,0,1959,1959,12
"Argentina sialis","1955",7,0,1951,1950,1
"Argentina sialis","1955",7,0,1952,1951,1
"Argentina sialis","1955",7,0,1953,1952,1
"Argentina sialis","1955",7,0,1954,1953,1
"Argentina sialis","1955",7,0,1955,1954,1
"Argentina sialis","1955",7,0,1956,1955,1
"Argentina sialis","1955",7,0,1957,1956,1
"Argentina sialis","1955",7,0,1958,1957,1
"Argentina sialis","1955",7,0,1959,1958,1
"Argentina sialis","1955",7,0,1960,1959,1
"Argentina sialis","1955",8,0.288,1951,1950,2
"Argentina sialis","1955",8,0.288,1952,1951,2
"Argentina sialis","1955",8,0.288,1953,1952,2
"Argentina sialis","1955",8,0.288,1954,1953,2
"Argentina sialis","1955",8,0.288,1955,1954,2
"Argentina sialis","1955",8,0.288,1956,1955,2
"Argentina sialis","1955",8,0.288,1957,1956,2
"Argentina sialis","1955",8,0.288,1958,1957,2
"Argentina sialis","1955",8,0.288,1959,1958,2
"Argentina sialis","1955",8,0.288,1960,1959,2
"Argentina sialis","1955",9,0,1951,1950,3
"Argentina sialis","1955",9,0,1952,1951,3
"Argentina sialis","1955",9,0,1953,1952,3
"Argentina sialis","1955",9,0,1954,1953,3
"Argentina sialis","1955",9,0,1955,1954,3
"Argentina sialis","1955",9,0,1956,1955,3
"Argentina sialis","1955",9,0,1957,1956,3
"Argentina sialis","1955",9,0,1958,1957,3
"Argentina sialis","1955",9,0,1959,1958,3
"Argentina sialis","1955",9,0,1960,1959,3
"Argentina sialis","1955",10,1.793,1951,1950,4
"Argentina sialis","1955",10,1.793,1952,1951,4
"Argentina sialis","1955",10,1.793,1953,1952,4
"Argentina sialis","1955",10,1.793,1954,1953,4
"Argentina sialis","1955",10,1.793,1955,1954,4
"Argentina sialis","1955",10,1.793,1956,1955,4
"Argentina sialis","1955",10,1.793,1957,1956,4
"Argentina sialis","1955",10,1.793,1958,1957,4
"Argentina sialis","1955",10,1.793,1959,1958,4
"Argentina sialis","1955",10,1.793,1960,1959,4
"Argentina sialis","1955",11,0,1951,1950,5
"Argentina sialis","1955",11,0,1952,1951,5
"Argentina sialis","1955",11,0,1953,1952,5
"Argentina sialis","1955",11,0,1954,1953,5
"Argentina sialis","1955",11,0,1955,1954,5
"Argentina sialis","1955",11,0,1956,1955,5
"Argentina sialis","1955",11,0,1957,1956,5
"Argentina sialis","1955",11,0,1958,1957,5
"Argentina sialis","1955",11,0,1959,1958,5
"Argentina sialis","1955",11,0,1960,1959,5
"Argentina sialis","1955",12,0.307,1951,1950,6
"Argentina sialis","1955",12,0.307,1952,1951,6
"Argentina sialis","1955",12,0.307,1953,1952,6
"Argentina sialis","1955",12,0.307,1954,1953,6
"Argentina sialis","1955",12,0.307,1955,1954,6
"Argentina sialis","1955",12,0.307,1956,1955,6
"Argentina sialis","1955",12,0.307,1957,1956,6
"Argentina sialis","1955",12,0.307,1958,1957,6
"Argentina sialis","1955",12,0.307,1959,1958,6
"Argentina sialis","1955",12,0.307,1960,1959,6
"Argentina sialis","1965",1,3.216,1960,1960,7
"Argentina sialis","1965",1,3.216,1961,1961,7
"Argentina sialis","1965",1,3.216,1962,1962,7
"Argentina sialis","1965",1,3.216,1963,1963,7
