"Year","Month","Volume.Filtered","Taxa","Count","Density","New_Year","New_Month","Year_Start"
1998,3,85.2,"Anoplarchus.purpurescens",2,0.0234741784037559,1998,3,"January"
1998,3,145.2,"Anoplarchus.purpurescens",2,0.0137741046831956,1998,3,"January"
1999,3,206.39,"Anoplarchus.purpurescens",5,0.0242259799408886,1999,3,"January"
2000,2,206.7,"Anoplarchus.purpurescens",2,0.00967585873246251,2000,2,"January"
2000,3,211.16,"Anoplarchus.purpurescens",7,0.0331502178442887,2000,3,"January"
2001,1,159.79,"Anoplarchus.purpurescens",2,0.0125164278115026,2001,1,"January"
2001,2,52.64,"Anoplarchus.purpurescens",1,0.0189969604863222,2001,2,"January"
2002,3,25.77,"Anoplarchus.purpurescens",1,0.0388048117966628,2002,3,"January"
2005,4,77.27,"Anoplarchus.purpurescens",1,0.0129416332341141,2005,4,"January"
2008,3,73.47,"Anoplarchus.purpurescens",1,0.0136109976861304,2008,3,"January"
2009,3,46.95,"Anoplarchus.purpurescens",1,0.0212992545260916,2009,3,"January"
2010,2,36.22,"Anoplarchus.purpurescens",4,0.110436223081171,2010,2,"January"
2010,3,52.99,"Anoplarchus.purpurescens",2,0.0377429703717683,2010,3,"January"
2011,3,45.2712,"Anoplarchus.purpurescens",1,0.0220890985880648,2011,3,"January"
2012,2,59.07,"Anoplarchus.purpurescens",1,0.0169290672083968,2012,2,"January"
2012,2,36.4725,"Anoplarchus.purpurescens",2,0.0548358352183152,2012,2,"January"
2013,3,49.73238,"Anoplarchus.purpurescens",3,0.0603228721408467,2013,3,"January"
2013,4,35.08024,"Anoplarchus.purpurescens",3,0.0855182290657076,2013,4,"January"
2014,2,44.78,"Anoplarchus.purpurescens",1,0.0223313979455114,2014,2,"January"
2014,4,52.48,"Anoplarchus.purpurescens",1,0.0190548780487805,2014,4,"January"
2015,4,35.22,"Anoplarchus.purpurescens",1,0.0283929585462805,2015,4,"January"
2016,3,28.78,"Anoplarchus.purpurescens",1,0.0347463516330785,2016,3,"January"
2017,3,46.75,"Anoplarchus.purpurescens",3,0.0641711229946524,2017,3,"January"
2018,3,34.45,"Anoplarchus.purpurescens",1,0.0290275761973875,2018,3,"January"
2018,4,69.09,"Anoplarchus.purpurescens",1,0.0144738746562455,2018,4,"January"
2018,4,63.22,"Anoplarchus.purpurescens",1,0.0158177791838026,2018,4,"January"
2019,3,36.99,"Anoplarchus.purpurescens",3,0.08110300081103,2019,3,"January"
2019,3,39.26,"Anoplarchus.purpurescens",2,0.0509424350483953,2019,3,"January"
2019,3,43.97,"Anoplarchus.purpurescens",2,0.0454855583352286,2019,3,"January"
2020,3,71.56378,"Anoplarchus.purpurescens",7,0.0978148443248806,2020,3,"January"
2021,3,49.92408509,"Anoplarchus.purpurescens",17,0.340517006357823,2021,3,"January"
