"","Period_3y","mean_ct","mean_cta_months","mean_cta_days","sd_cta_months","se_cta_months","se_cta_days","group"
"1",1,5.7747730108929,0.2692178718493,8.19499201909269,1.66120298595165,0.33224059719033,10.1134037784737,"assemblage"
"25",2,5.84818386785365,0.273319546705454,8.31984700171403,1.00519367906814,0.201038735813627,6.11961911816681,"assemblage"
"50",3,5.44531305159222,-0.0821605675230668,-2.50096767540215,0.867550181280463,0.173510036256093,5.28164550363546,"assemblage"
"73",4,5.50664091810816,-0.0895188772567281,-2.7249546236948,0.890618773797219,0.178123754759444,5.42208709487747,"assemblage"
"97",5,5.44654189647645,-0.128322424671754,-3.90613460700818,0.606055425650766,0.121211085130153,3.68966543136187,"assemblage"
"122",6,5.85948014526324,0.284615824115037,8.66370568606172,1.10312535434554,0.220625070869107,6.71582715725563,"assemblage"
"147",7,5.34392675803759,-0.230937563110614,-7.02973942108708,0.568767909816489,0.113753581963298,3.46265903496279,"assemblage"
"172",8,5.3631060957822,-0.234921509980291,-7.15101076380005,0.836819911557193,0.167363982311439,5.09455962156019,"assemblage"
"196",9,5.50479027500351,-0.0700740461446918,-2.13305396464442,0.930160056123827,0.186032011224765,5.66281442168186,"assemblage"
"11",1,8.1072083147885,2.58855634725658,78.7956552104904,1.71378712551817,0.342757425103633,10.4335360201546,"earlier"
"2",2,6.16790800396132,0.649256036429404,19.7633537489111,1.77360186567126,0.354720373134252,10.7976881582066,"earlier"
"3",3,4.84857537091505,-0.795003215898549,-24.1998978919518,0.769374300076145,0.153874860015229,4.68395073886357,"earlier"
"4",4,5.12082302670227,-0.511548697725716,-15.5715423587708,0.883003586635787,0.176600717327157,5.37572583543867,"earlier"
"5",5,5.29329130390842,-0.225360663623492,-6.85997860069911,0.780284231691409,0.156056846338282,4.7503704025373,"earlier"
"6",6,5.41715159300101,-0.101500374530907,-3.0896714007208,0.427589228998107,0.0855178457996214,2.60316322614048,"earlier"
"7",7,5.40825736349786,-0.110394604034055,-3.36041174679664,0.414194295323913,0.0828388590647827,2.52161486993198,"earlier"
"8",8,4.53337977897821,-1.11019880783539,-33.7944517105094,1.14435860886645,0.22887172177329,6.96685521077894,"earlier"
"9",9,4.65149580320211,-0.867156164329807,-26.3962336421993,0.952131496938174,0.190426299387635,5.79657655335961,"earlier"
"12",1,5.91387595808913,-1.30689334055901,-39.7818332866162,NA,NA,NA,"later"
"21",2,6.74646673254112,-0.474302566107022,-14.4377701122978,NA,NA,NA,"later"
"31",4,7.14847513802519,-0.0722941606229472,-2.20063424936251,NA,NA,NA,"later"
"41",5,8.15040489243421,0.929635593786074,28.2981074748481,NA,NA,NA,"later"
"51",6,6.61447038749303,-0.606298911155103,-18.4557388555613,NA,NA,NA,"later"
"61",7,6.78434352555082,-0.436425773097318,-13.2848005330824,NA,NA,NA,"later"
"71",8,7.4081177550516,0.187348456403464,5.70288701292146,NA,NA,NA,"later"
"81",9,9,1.77923070135186,54.1597825491507,NA,NA,NA,"later"
"13",1,5.11914637385544,-0.28748108174115,-8.75092412820062,0.993010859066614,0.198602171813323,6.04545010999755,"no_change"
"22",2,5.71676789178914,0.21373742376823,6.50616717950491,0.757710699104659,0.151542139820932,4.61294273614917,"no_change"
"32",3,5.57094203699794,0.0679115689770346,2.06722815966093,0.827373779958461,0.165474755991692,5.03705157238711,"no_change"
"42",4,5.50145340998745,-0.00157705803345599,-0.0480056465384001,0.914235580124039,0.182847116024808,5.56586621179515,"no_change"
"52",5,5.3445624210492,-0.158468046971708,-4.8237673498188,0.537291493713602,0.10745829874272,3.27103061372841,"no_change"
"62",6,5.93614606732015,0.43311559929924,13.1840388426689,1.21371271086804,0.242742542173608,7.38908298376462,"no_change"
"72",7,5.25118624252103,-0.251844225499882,-7.6661382242164,0.621580229786318,0.124316045957264,3.7841804389391,"no_change"
"82",8,5.43015312777939,-0.0728773402415197,-2.21838623695186,0.684585147719047,0.136917029543809,4.16775437931356,"no_change"
"91",9,5.54538304521459,0.0423525771936777,1.28921244977555,0.756517798810815,0.151303559762163,4.60568035916024,"no_change"
