"Period_3y","MONTH","Avg_BCUI"
1,1,0
1,2,0
1,3,0
1,4,10
1,5,21.5
1,6,49
1,7,88.25
1,8,56
1,9,42.25
1,10,0
1,11,0
1,12,0
2,1,0
2,2,0
2,3,0
2,4,5.66666666666667
2,5,22
2,6,40.6666666666667
2,7,97.6666666666667
2,8,60
2,9,20.6666666666667
2,10,5
2,11,0
2,12,0
3,1,0
3,2,1.33333333333333
3,3,0
3,4,0.333333333333333
3,5,14.3333333333333
3,6,48.6666666666667
3,7,73
3,8,63
3,9,33
3,10,0.666666666666667
3,11,0
3,12,0
4,1,0
4,2,0
4,3,0
4,4,3.33333333333333
4,5,38.6666666666667
4,6,40
4,7,54.6666666666667
4,8,55.3333333333333
4,9,31
4,10,13
4,11,0
4,12,0
5,1,0
5,2,0
5,3,0
5,4,8.33333333333333
5,5,10
5,6,28.3333333333333
5,7,86.3333333333333
5,8,47.3333333333333
5,9,1.33333333333333
5,10,0
5,11,0
5,12,0.666666666666667
6,1,0
6,2,0
6,3,0
6,4,5.33333333333333
6,5,13.3333333333333
6,6,27
6,7,127.333333333333
6,8,52.3333333333333
6,9,24
6,10,4.33333333333333
6,11,0
6,12,1.33333333333333
7,1,0
7,2,0
7,3,0
7,4,3
7,5,61.3333333333333
7,6,69.3333333333333
7,7,82.6666666666667
7,8,74
7,9,24
7,10,0.666666666666667
7,11,0
7,12,0
8,1,0
8,2,8
8,3,2
8,4,7.33333333333333
8,5,37
8,6,46.3333333333333
8,7,65.3333333333333
8,8,46.6666666666667
8,9,6.33333333333333
8,10,3.33333333333333
8,11,1.33333333333333
8,12,0
9,1,0
9,2,0.666666666666667
9,3,0
9,4,10
9,5,31
9,6,39.3333333333333
9,7,92
9,8,59.6666666666667
9,9,6
9,10,1.33333333333333
9,11,0
9,12,0
