"POSITION","YEAR","MONTH","BCUI","pos_bcui"
"45N 125W",1996,1,-45,0
"45N 125W",1997,1,-56,0
"45N 125W",1998,1,-184,0
"45N 125W",1999,1,-61,0
"45N 125W",2000,1,-73,0
"45N 125W",2001,1,-82,0
"45N 125W",2002,1,-87,0
"45N 125W",2003,1,-208,0
"45N 125W",2004,1,-156,0
"45N 125W",2005,1,-75,0
"45N 125W",2006,1,-157,0
"45N 125W",2007,1,-1,0
"45N 125W",2008,1,-25,0
"45N 125W",2009,1,-3,0
"45N 125W",2010,1,-257,0
"45N 125W",2011,1,-18,0
"45N 125W",2012,1,-62,0
"45N 125W",2013,1,-3,0
"45N 125W",2014,1,-17,0
"45N 125W",2015,1,-32,0
"45N 125W",2016,1,-261,0
"45N 125W",2017,1,-83,0
"45N 125W",2018,1,-161,0
"45N 125W",2019,1,-92,0
"45N 125W",2020,1,-187,0
"45N 125W",2021,1,-92,0
"45N 125W",2022,1,-50,0
"45N 125W",2023,1,-112,0
"45N 125W",1996,2,-80,0
"45N 125W",1997,2,-2,0
"45N 125W",1998,2,-176,0
"45N 125W",1999,2,-330,0
"45N 125W",2000,2,-78,0
"45N 125W",2001,2,-18,0
"45N 125W",2002,2,-29,0
"45N 125W",2003,2,0,0
"45N 125W",2004,2,-98,0
"45N 125W",2005,2,4,4
"45N 125W",2006,2,0,0
"45N 125W",2007,2,-48,0
"45N 125W",2008,2,-11,0
"45N 125W",2009,2,-19,0
"45N 125W",2010,2,-92,0
"45N 125W",2011,2,-11,0
"45N 125W",2012,2,-44,0
"45N 125W",2013,2,-4,0
"45N 125W",2014,2,-62,0
"45N 125W",2015,2,-20,0
"45N 125W",2016,2,-112,0
"45N 125W",2017,2,-44,0
"45N 125W",2018,2,16,16
"45N 125W",2019,2,-1,0
"45N 125W",2020,2,8,8
"45N 125W",2021,2,-14,0
"45N 125W",2022,2,2,2
"45N 125W",2023,2,-14,0
"45N 125W",1996,3,0,0
"45N 125W",1997,3,-42,0
"45N 125W",1998,3,-1,0
"45N 125W",1999,3,-66,0
"45N 125W",2000,3,-13,0
"45N 125W",2001,3,0,0
"45N 125W",2002,3,-6,0
"45N 125W",2003,3,-82,0
"45N 125W",2004,3,-5,0
"45N 125W",2005,3,-9,0
"45N 125W",2006,3,-68,0
"45N 125W",2007,3,-8,0
"45N 125W",2008,3,-9,0
"45N 125W",2009,3,-5,0
"45N 125W",2010,3,-29,0
"45N 125W",2011,3,-157,0
"45N 125W",2012,3,-75,0
"45N 125W",2013,3,-3,0
"45N 125W",2014,3,-33,0
"45N 125W",2015,3,-7,0
"45N 125W",2016,3,-85,0
"45N 125W",2017,3,-63,0
"45N 125W",2018,3,-8,0
"45N 125W",2019,3,-12,0
"45N 125W",2020,3,6,6
"45N 125W",2021,3,-6,0
"45N 125W",2022,3,-4,0
"45N 125W",2023,3,-22,0
"45N 125W",1996,4,-53,0
"45N 125W",1997,4,-2,0
"45N 125W",1998,4,9,9
"45N 125W",1999,4,31,31
"45N 125W",2000,4,0,0
"45N 125W",2001,4,0,0
"45N 125W",2002,4,17,17
"45N 125W",2003,4,-17,0
"45N 125W",2004,4,1,1
"45N 125W",2005,4,-10,0
"45N 125W",2006,4,1,1
"45N 125W",2007,4,0,0
"45N 125W",2008,4,9,9
"45N 125W",2009,4,25,25
"45N 125W",2010,4,0,0
"45N 125W",2011,4,-1,0
"45N 125W",2012,4,-16,0
"45N 125W",2013,4,16,16
"45N 125W",2014,4,-3,0
"45N 125W",2015,4,7,7
"45N 125W",2016,4,2,2
"45N 125W",2017,4,-31,0
"45N 125W",2018,4,-8,0
"45N 125W",2019,4,6,6
"45N 125W",2020,4,16,16
"45N 125W",2021,4,30,30
"45N 125W",2022,4,-17,0
"45N 125W",2023,4,-29,0
"45N 125W",1996,5,34,34
"45N 125W",1997,5,1,1
"45N 125W",1998,5,20,20
"45N 125W",1999,5,31,31
"45N 125W",2000,5,7,7
"45N 125W",2001,5,45,45
"45N 125W",2002,5,14,14
"45N 125W",2003,5,27,27
"45N 125W",2004,5,16,16
"45N 125W",2005,5,-2,0
"45N 125W",2006,5,29,29
"45N 125W",2007,5,53,53
"45N 125W",2008,5,34,34
