Year,Month,Station,SouthernBiomassAnomaly,NorthernBiomassAnomaly,SouthernLog10Biomass (mg/m3),NorthernLog10Biomass (mg/m3)
1996,5,NH05,0.341934854,-1.199177579,0.724622222,0.496733333
1996,6,NH05,0.134368327,-0.421789871,0.392877778,1.592933333
1996,7,NH05,-0.116918525,0.007749722,0.113605556,2.27645
1996,8,NH05,-0.030671065,-0.295087004,0.211394444,2.119683333
1996,9,NH05,0.01339295,0.161036865,0.389055556,2.179133333
1996,10,NH05,-0.090435905,0.333789815,0.419205556,1.877383333
1996,11,NH05,-0.024209259,-0.004388272,0.662255556,1.041766667
1996,12,NH05,-0.0111657,0.36177029,0.644833333,1.322066667
1997,2,NH05,0.007349217,0.109565171,0.726177778,1.219533333
1997,3,NH05,-0.071675892,0.309639506,0.521,1.639966667
1997,4,NH05,0.083247599,-0.174511523,0.620161111,1.293166667
1997,5,NH05,-0.137002183,0.091077976,0.245685185,1.786988889
1997,6,NH05,-0.122542784,-0.828739871,0.135966667,1.185983333
1997,7,NH05,0.067842586,-0.370413611,0.298366667,1.898286667
1997,8,NH05,0.194525231,-0.374448115,0.436590741,2.040322222
1997,9,NH05,0.394920728,-0.635146468,0.770583333,1.38295
1997,10,NH05,0.298458539,-1.271626852,0.8081,0.271966667
1997,11,NH05,0.236746296,-0.580238272,0.923211111,0.465916667
1997,12,NH05,0.028078744,-0.960296377,0.684077778,0
1998,1,NH05,0.12267213,-0.833273056,0.896622222,0.233033333
1998,1,NH25,-0.167040856,-0.5749875,0.361433333,0
1998,3,NH05,0.253524108,-1.002743827,0.8462,0.327583333
1998,4,NH05,0.220525377,-1.174111523,0.757438889,0.293566667
1998,4,NH25,-0.248017593,-0.878346528,0.252288889,0.2413
1998,5,NH05,0.405657077,-0.985244246,0.788344444,0.710666667
1998,6,NH05,0.56643129,-1.183034315,0.824940741,0.831688889
1998,6,NH25,0.410900887,-1.12296713,0.869288889,0.304566667
1998,7,NH05,0.692453697,-0.588189167,0.922977778,1.680511111
1998,8,NH05,0.697671528,-0.888681448,0.939737037,1.526088889
1998,8,NH25,0.449034386,-1.413396591,0.821961111,0.443333333
1998,9,NH05,0.525926283,-0.202054802,0.901588889,1.816041667
1998,9,NH25,0.12708642,-1.097414583,0.521133333,0.455966667
1998,10,NH05,0.143236317,-0.196326852,0.652877778,1.347266667
1998,11,NH05,0.152401852,0.392528395,0.838866667,1.438683333
1998,11,NH25,0.170325617,-0.393353704,0.611411111,0.475633333
1998,12,NH05,-0.147543478,-0.47242971,0.508455556,0.487866667
1999,2,NH05,-0.060906339,0.188298504,0.657922222,1.298266667
1999,2,NH25,0.043962257,-0.14052328,0.620766667,0.537433333
1999,3,NH05,-0.053898114,-0.62982716,0.538777778,0.7005
1999,4,NH05,-0.082476475,-0.509711523,0.454437037,0.957966667
1999,4,NH25,-0.042828704,-0.017513194,0.457477778,1.102133333
1999,5,NH05,-0.209404034,0.043789087,0.173283333,1.7397
1999,6,NH05,-0.258509451,0.301860129,0,2.316583333
1999,7,NH05,-0.195628525,-0.191206944,0.034895556,2.077493333
1999,7,NH25,-0.176413636,0.023282071,0.127072222,2.085933333
1999,8,NH05,-0.242065509,-0.023370337,0,2.3914
1999,9,NH05,-0.358901495,0.024686865,0.016761111,2.042783333
1999,9,NH25,-0.196046914,0.093652083,0.198,1.647033333
1999,10,NH05,-0.277808128,0.668973148,0.231833333,2.212566667
1999,11,NH05,-0.656364815,0.016678395,0.0301,1.062833333
1999,11,NH25,-0.239741049,0.343412963,0.201344444,1.2124
1999,12,NH05,-0.198776812,0.360203623,0.457222222,1.3205
2000,1,NH05,-0.388638981,0.297093611,0.385311111,1.3634
2000,2,NH05,-0.287028561,-0.313034829,0.4318,0.796933333
2000,2,NH25,-0.30421552,0.03397672,0.272588889,0.711933333
2000,3,NH05,-0.361353669,-0.848493827,0.231322222,0.481833333
2000,3,NH25,-0.383485597,0.152144753,0.187666667,1.1101
2000,4,NH05,-0.408657956,0.149588477,0.128255556,1.617266667
2000,4,NH25,-0.119184259,0.454186806,0.381122222,1.573833333
2000,5,NH05,-0.354998479,-0.215544246,0.027688889,1.480366667
2000,6,NH05,-0.248400562,-0.314243204,0.010108889,1.70048
2000,6,NH25,-0.28637689,0.103655093,0.172011111,1.531188889
2000,7,NH05,-0.230524081,0.164433056,0,2.433133333
2000,7,NH25,-0.187052525,0.535048737,0.116433333,2.5977
2000,8,NH05,-0.136182176,0.246862996,0.105883333,2.661633333
2000,8,NH25,-0.184115614,0.041603409,0.188811111,1.898333333
2000,9,NH05,-0.174732976,0.801125754,0.20092963,2.819222222
2000,9,NH25,-0.049980247,0.230185417,0.344066667,1.783566667
2000,10,NH05,-0.359441461,0.503723148,0.1502,2.047316667
2000,11,NH05,-0.338464815,0.170878395,0.348,1.217033333
2000,12,NH05,-0.022187923,0.338303623,0.633811111,1.2986
2001,1,NH05,-0.062261204,0.055593611,0.711688889,1.1219
2001,1,NH25,0.025681366,0.111345833,0.554155556,0.686333333
2001,2,NH05,-0.174634117,-0.051201496,0.544194444,1.058766667
2001,3,NH05,-0.114653669,-0.05707716,0.478022222,1.27325
2001,3,NH25,-0.090441152,-0.124771914,0.480711111,0.833183333
2001,4,NH05,-0.344565364,0.079044033,0.192348148,1.546722222
2001,4,NH25,-0.25359537,0.032053472,0.246711111,1.1517
2001,5,NH05,-0.345704034,0.138422421,0.036983333,1.834333333
2001,5,NH25,-0.295131061,-0.321908838,0.205522222,0.881766667
2001,6,NH05,-0.237317784,0.162401796,0.021191667,2.177125
2001,6,NH25,-0.248132446,0.264416204,0.210255556,1.69195
2001,7,NH05,-0.197754636,0.030308056,0.032769444,2.299008333
2001,7,NH25,-0.128522896,0.10987096,0.174962963,2.172522222
2001,8,NH05,-0.134072917,0.219562996,0.107992593,2.634333333
2001,8,NH25,-0.297515614,0.778336742,0.075411111,2.635066667
2001,9,NH05,-0.269498717,0.125036865,0.106163889,2.143133333
2001,9,NH25,-0.253708025,0.454035417,0.140338889,2.007416667
2001,10,NH05,-0.304302572,0.605189815,0.205338889,2.148783333
2001,11,NH05,-0.193787037,0.750428395,0.492677778,1.796583333
2001,11,NH25,-0.245724383,0.358112963,0.195361111,1.2271
2002,1,NH05,0.114438796,0.383326944,0.888388889,1.449633333
2002,1,NH25,-0.038557523,0.238029167,0.489916667,0.813016667
2002,2,NH05,0.036260328,-0.200168162,0.755088889,0.9098
2002,2,NH25,0.017606702,0.671643386,0.594411111,1.3496
2002,3,NH05,-0.047746262,0.190739506,0.54492963,1.521066667
2002,3,NH25,0.013336626,0.472994753,0.584488889,1.43095
2002,4,NH05,-0.144339438,0.415544033,0.392574074,1.883222222
2002,4,NH25,0.086526852,0.264970139,0.586833333,1.384616667
2002,5,NH05,-0.342831812,0.827077976,0.039855556,2.522988889
2002,5,NH25,-0.099481061,0.285324495,0.401172222,1.489
2002,6,NH05,-0.240659451,0.419822629,0.01785,2.434545833
2002,6,NH25,-0.25497689,-0.009900463,0.203411111,1.417633333
2002,7,NH05,-0.20383797,0.057399722,0.026686111,2.3261
2002,7,NH25,-0.105752525,0.290498737,0.197733333,2.35315
2002,8,NH05,-0.196721065,-0.292214782,0.045344444,2.122555556
2002,8,NH25,-0.298632281,0.373853409,0.074294444,2.230583333
2002,9,NH05,-0.278684828,0.353870198,0.096977778,2.371966667
