"New_Month","Taxa","Period_3y","Density_Avg_3y","Old_Year","Old_Month","New_Year"
3,"Anoplarchus.purpurescens",1,0.02049142100928,1998,3,1998
3,"Anoplarchus.purpurescens",1,0.02049142100928,1998,3,1998
3,"Anoplarchus.purpurescens",1,0.02049142100928,1999,3,1999
1,"Anoplarchus.purpurescens",2,0.0125164278115026,2001,1,2001
2,"Anoplarchus.purpurescens",2,0.0143364096093923,2000,2,2000
2,"Anoplarchus.purpurescens",2,0.0143364096093923,2001,2,2001
3,"Anoplarchus.purpurescens",2,0.0359775148204757,2000,3,2000
3,"Anoplarchus.purpurescens",2,0.0359775148204757,2002,3,2002
4,"Anoplarchus.purpurescens",3,0.0129416332341141,2005,4,2005
3,"Anoplarchus.purpurescens",4,0.0136109976861304,2008,3,2008
2,"Anoplarchus.purpurescens",5,0.110436223081171,2010,2,2010
3,"Anoplarchus.purpurescens",5,0.0270437744953082,2009,3,2009
3,"Anoplarchus.purpurescens",5,0.0270437744953082,2010,3,2010
3,"Anoplarchus.purpurescens",5,0.0270437744953082,2011,3,2011
2,"Anoplarchus.purpurescens",6,0.0313654334574078,2012,2,2012
2,"Anoplarchus.purpurescens",6,0.0313654334574078,2012,2,2012
2,"Anoplarchus.purpurescens",6,0.0313654334574078,2014,2,2014
3,"Anoplarchus.purpurescens",6,0.0603228721408467,2013,3,2013
4,"Anoplarchus.purpurescens",6,0.0522865535572441,2013,4,2013
4,"Anoplarchus.purpurescens",6,0.0522865535572441,2014,4,2014
3,"Anoplarchus.purpurescens",7,0.0494587373138655,2016,3,2016
3,"Anoplarchus.purpurescens",7,0.0494587373138655,2017,3,2017
4,"Anoplarchus.purpurescens",7,0.0283929585462805,2015,4,2015
3,"Anoplarchus.purpurescens",8,0.0608746829433844,2018,3,2018
3,"Anoplarchus.purpurescens",8,0.0608746829433844,2019,3,2019
3,"Anoplarchus.purpurescens",8,0.0608746829433844,2019,3,2019
3,"Anoplarchus.purpurescens",8,0.0608746829433844,2019,3,2019
3,"Anoplarchus.purpurescens",8,0.0608746829433844,2020,3,2020
4,"Anoplarchus.purpurescens",8,0.015145826920024,2018,4,2018
4,"Anoplarchus.purpurescens",8,0.015145826920024,2018,4,2018
