Year,Month,Transect,Station,Upper100mTemp
1997,3,Newport Hydrographic,NH01,10.32333337
1997,3,Newport Hydrographic,NH03,10.14716359
1997,3,Newport Hydrographic,NH05,10.04587247
1997,3,Newport Hydrographic,NH10,9.988532887
1997,3,Newport Hydrographic,NH15,9.899021363
1997,4,Newport Hydrographic,NH01,10.17088094
1997,4,Newport Hydrographic,NH03,9.52025613
1997,4,Newport Hydrographic,NH05,9.583974625
1997,4,Newport Hydrographic,NH10,9.536519442
1997,4,Newport Hydrographic,NH15,9.616716074
1997,5,Newport Hydrographic,NH01,12.46970059
1997,5,Newport Hydrographic,NH03,10.85069685
1997,5,Newport Hydrographic,NH05,10.16027635
1997,5,Newport Hydrographic,NH10,10.01998325
1997,5,Newport Hydrographic,NH15,10.33976174
1997,6,Newport Hydrographic,NH01,11.21936841
1997,6,Newport Hydrographic,NH03,9.378926419
1997,6,Newport Hydrographic,NH05,9.06919454
1997,6,Newport Hydrographic,NH10,9.176116778
1997,6,Newport Hydrographic,NH15,9.443252859
1997,7,Newport Hydrographic,NH01,9.51610525
1997,7,Newport Hydrographic,NH03,8.639558488
1997,7,Newport Hydrographic,NH05,8.763631266
1997,7,Newport Hydrographic,NH10,8.759415048
1997,7,Newport Hydrographic,NH15,9.234440875
1997,7,Newport Hydrographic,NH25,9.6940707
1997,8,Newport Hydrographic,NH01,12.34229056
1997,8,Newport Hydrographic,NH03,11.50235638
1997,8,Newport Hydrographic,NH05,10.24806319
1997,8,Newport Hydrographic,NH10,10.06528382
1997,8,Newport Hydrographic,NH15,8.753488776
1997,9,Newport Hydrographic,NH01,15.59570955
1997,9,Newport Hydrographic,NH03,15.34359255
1997,9,Newport Hydrographic,NH05,14.12049491
1997,9,Newport Hydrographic,NH10,12.25967802
1997,9,Newport Hydrographic,NH15,11.3844116
1997,9,Newport Hydrographic,NH20,11.36021431
1997,9,Newport Hydrographic,NH25,11.48167346
1997,10,Newport Hydrographic,NH01,14.72531674
1997,10,Newport Hydrographic,NH03,14.32227768
1997,10,Newport Hydrographic,NH05,13.46443505
1997,10,Newport Hydrographic,NH10,13.43035973
1997,10,Newport Hydrographic,NH15,12.80536781
1997,11,Newport Hydrographic,NH01,12.19486663
1997,11,Newport Hydrographic,NH03,12.03478568
1997,11,Newport Hydrographic,NH05,12.14701926
1997,11,Newport Hydrographic,NH10,11.96270423
1997,11,Newport Hydrographic,NH15,11.30761624
1997,11,Newport Hydrographic,NH20,10.78953528
1997,11,Newport Hydrographic,NH25,10.9783265
1997,12,Newport Hydrographic,NH05,12.75048244
1998,1,Newport Hydrographic,NH01,12.32099999
1998,1,Newport Hydrographic,NH03,12.4528182
1998,1,Newport Hydrographic,NH05,12.48544006
1998,1,Newport Hydrographic,NH10,12.3847948
1998,1,Newport Hydrographic,NH15,12.0837876
1998,1,Newport Hydrographic,NH20,11.74031314
1998,1,Newport Hydrographic,NH25,11.81740997
1998,2,Newport Hydrographic,NH05,12.42759516
1998,2,Newport Hydrographic,NH10,12.32181941
1998,2,Newport Hydrographic,NH15,12.27863737
